classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,7)",7,0.1051,0.1068,0.0723,390.6667,369,417,1.0,0.6819,0.3639
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,8)",8,0.0959,0.0972,0.067,391.9333,365,420,1.0,0.7,0.3621
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,9)",9,0.0976,0.099,0.0679,391.9333,362,418,1.0,0.6931,0.3605
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,10)",10,0.0925,0.0941,0.0653,394.8333,363,431,1.0,0.6958,0.3632
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,12)",12,0.0841,0.0853,0.0604,393.1111,359,413,1.0,0.6867,0.362
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,14)",14,0.0889,0.0899,0.0629,391.6667,362,412,0.9996,0.684,0.3635
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,16)",16,0.082,0.0832,0.0592,391.381,364,413,1.0,0.7083,0.3599
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,18)",18,0.075,0.0753,0.055,391.5556,345,419,1.0,0.7083,0.365
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,20)",20,0.0777,0.0783,0.0566,392.6111,356,420,0.9994,0.7083,0.3597
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,1)",1,0.3428,0.3393,0.2267,246.9667,221,276,0.9997,0.8594,0.7933
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,2)",2,0.2106,0.2071,0.1213,242.5,215,276,0.9994,0.8522,0.7836
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,3)",3,0.1627,0.1603,0.0901,240.5333,214,270,0.9983,0.842,0.7833
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,4)",4,0.1608,0.1579,0.0889,243.4333,202,268,0.9983,0.842,0.788
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,5)",5,0.1471,0.1452,0.081,243.0,220,265,0.9994,0.842,0.7844
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,6)",6,0.1456,0.1419,0.0789,241.0667,204,275,0.9997,0.8319,0.7861
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,7)",7,0.1334,0.1302,0.0723,238.2333,205,268,0.9994,0.8232,0.78
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,8)",8,0.1314,0.1284,0.0712,237.5333,211,261,0.9992,0.8246,0.7812
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,9)",9,0.129,0.1255,0.0695,243.8,218,273,0.9994,0.8435,0.7923
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,10)",10,0.1264,0.1236,0.0683,241.0,217,269,0.9997,0.8391,0.7872
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,12)",12,0.1168,0.1141,0.0629,242.9667,219,261,0.9994,0.8507,0.7988
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,14)",14,0.1175,0.1138,0.0629,245.1111,213,267,0.9985,0.8615,0.7941
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,16)",16,0.116,0.112,0.0617,241.2917,206,268,0.9993,0.8569,0.7901
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,18)",18,0.1067,0.1046,0.0576,247.1429,230,268,0.9988,0.8654,0.7949
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,20)",20,0.1004,0.0967,0.0533,242.2857,196,266,0.9976,0.8634,0.7939
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,1)",1,0.3651,0.3623,0.2435,246.2,231,263,1.0,0.8696,0.5398
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,2)",2,0.2491,0.2462,0.1457,242.5,225,261,1.0,0.8449,0.5324
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,3)",3,0.2124,0.2093,0.1203,243.2667,219,260,1.0,0.8493,0.5355
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,4)",4,0.1994,0.197,0.1126,245.7333,227,262,0.9996,0.8739,0.536
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,5)",5,0.1838,0.1803,0.1019,241.8667,213,264,0.9996,0.8536,0.5318
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,6)",6,0.1827,0.1794,0.1012,242.3667,217,258,0.9996,0.8435,0.5312
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,7)",7,0.1733,0.1704,0.0957,241.4667,218,258,1.0,0.8478,0.5321
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,8)",8,0.1668,0.1641,0.0919,244.1,220,258,0.9996,0.8667,0.5352
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,9)",9,0.1643,0.162,0.0906,240.6667,225,257,1.0,0.8696,0.5296
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,10)",10,0.1658,0.1615,0.0905,241.2222,218,268,0.9995,0.8631,0.528
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,12)",12,0.1481,0.144,0.0802,248.1905,225,269,0.9994,0.8882,0.5377
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,14)",14,0.1429,0.1377,0.0766,244.7778,216,281,1.0,0.872,0.534
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,16)",16,0.1368,0.1339,0.0743,249.5,227,277,1.0,0.901,0.5316
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,18)",18,0.1276,0.124,0.0687,249.0,232,276,1.0,0.8957,0.5321
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,20)",20,0.13,0.1264,0.0699,246.0,221,264,1.0,0.887,0.5364
