classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,1)",1,0.7219,0.6966,0.5532,70.3333,61,82,0.9814,0.9693,0.746
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,2)",2,0.6519,0.6302,0.4681,69.8333,56,83,0.9857,0.9627,0.7304
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,3)",3,0.5814,0.5636,0.3982,66.9667,56,77,0.9838,0.9947,0.7484
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,4)",4,0.5784,0.5622,0.396,68.1667,59,78,0.9831,0.992,0.7466
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,5)",5,0.5736,0.5496,0.3822,67.1,53,80,0.9838,0.992,0.7533
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,6)",6,0.5662,0.548,0.3806,67.1667,54,77,0.9805,0.988,0.7411
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,7)",7,0.5469,0.5206,0.3549,67.4667,54,78,0.9805,0.9867,0.7438
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,8)",8,0.5444,0.5293,0.3625,69.2333,59,78,0.9826,0.9813,0.7448
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,9)",9,0.5345,0.5139,0.3487,68.8333,56,83,0.9814,0.9813,0.7408
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,10)",10,0.5301,0.503,0.3391,66.5667,55,78,0.985,0.976,0.7441
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,12)",12,0.5144,0.4938,0.3305,68.5,58,84,0.9855,0.976,0.7416
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,14)",14,0.5164,0.4937,0.3303,68.6333,58,80,0.9819,0.9747,0.7469
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,16)",16,0.509,0.4879,0.3246,69.5185,56,82,0.9828,0.9704,0.7416
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,18)",18,0.5155,0.4933,0.329,68.0833,60,77,0.983,0.9683,0.7445
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,20)",20,0.4891,0.4699,0.3089,70.7917,62,82,0.9798,0.9617,0.7368
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,1)",1,0.4994,0.4193,0.2809,7.7,4,13,0.9703,0.6319,0.3603
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,2)",2,0.3561,0.3006,0.1826,6.2667,2,13,0.968,0.6569,0.3591
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,3)",3,0.3816,0.3226,0.1988,7.0,4,12,0.9747,0.6597,0.3625
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,4)",4,0.3657,0.2657,0.1631,6.8667,2,13,0.9687,0.6431,0.3603
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,5)",5,0.2335,0.1894,0.1082,5.9667,2,11,0.9647,0.6583,0.3636
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,6)",6,0.1642,0.1298,0.0733,6.1667,1,12,0.9577,0.6278,0.3621
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,7)",7,0.1691,0.1376,0.078,5.9333,2,10,0.9697,0.6514,0.3624
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,8)",8,0.3197,0.2245,0.1296,6.5667,1,12,0.9617,0.675,0.3606
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,9)",9,0.216,0.1762,0.1019,6.2333,1,12,0.961,0.6736,0.3628
